pin,slack
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Sample_Per_Event_L[11]:ALn,2833
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Sample_Per_Event_L[11]:CLK,1936
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Sample_Per_Event_L[11]:D,3910
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Sample_Per_Event_L[11]:EN,363
Data_Block_0/Trigger_Top_Part_0/Trigger_Control_0/REG_Sample_Per_Event_L[11]:Q,1936
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/Q[28]:A,2995
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/Q[28]:B,3185
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/Q[28]:C,1163
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/Q[28]:D,2799
Controler_0/COREFIFO_C1_0/COREFIFO_C1_0/Q[28]:Y,1163
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/RDATA_r[19]:ALn,175093
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/RDATA_r[19]:CLK,174588
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/RDATA_r[19]:D,174365
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/RDATA_r[19]:EN,173864
UART_Protocol_1/COREFIFO_C0_inst_0/COREFIFO_C0_0/RDATA_r[19]:Q,174588
UART_Protocol_1/mko_0/counter_3_i_0_a2_RNID0PB1[4]:A,171459
UART_Protocol_1/mko_0/counter_3_i_0_a2_RNID0PB1[4]:B,169548
UART_Protocol_1/mko_0/counter_3_i_0_a2_RNID0PB1[4]:C,172885
UART_Protocol_1/mko_0/counter_3_i_0_a2_RNID0PB1[4]:D,172787
UART_Protocol_1/mko_0/counter_3_i_0_a2_RNID0PB1[4]:Y,169548
UART_Protocol_0/UART_RX_Protocol_0/state_reg_ns_a4_0[13]:A,174679
UART_Protocol_0/UART_RX_Protocol_0/state_reg_ns_a4_0[13]:B,174631
UART_Protocol_0/UART_RX_Protocol_0/state_reg_ns_a4_0[13]:C,174570
UART_Protocol_0/UART_RX_Protocol_0/state_reg_ns_a4_0[13]:D,174507
UART_Protocol_0/UART_RX_Protocol_0/state_reg_ns_a4_0[13]:Y,174507
